Fund_Name,Objective,Fund_Type,Allotment_Date,Benchmark,ADDL_Benchmark,Fund_Manager,Riskometer,Potential_Risk_Class,Maturity_Date,Exit_Load,ISIN_Number,AMFI_Code,Frequency_SIP,Frequency_SWP,Frequency_STP,Min_Amount_SIP,Min_Amount_SWP,Min_Amount_STP,Holdings,ISIN,Rating/Industry,Quantity,Market Value,Net Assets %,Portfolio Date,Scheme Name,Scheme code,Asset Category,Row Type,Scheme_Name_TER,Regular Plan TER,Direct Plan TER,Expense Ratio Date
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,Embassy Office Parks REIT,INE041025011,Realty,855507.0,3126.7925343,4.319255152715109,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,Capital Infra Trust,INE0Z8Z23013,Construction,2525250.0,2235.098775,3.0874967861937876,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,Mindspace Business Parks REIT,INE0CCU25019,Realty,183881.0,689.0756594,0.9518679476891865,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,Brookfield India Real Estate Trust,INE0FDU25010,Realty,196699.0,569.6993137,0.7869651309461956,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.26% Government of India (22/08/2032),IN0020220060,SOVEREIGN,8000000.0,8320.12,11.493158176307738,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.18% Government of India (24/07/2037),IN0020230077,SOVEREIGN,4500000.0,4683.7755,6.470023591464409,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.41% Government of India (19/12/2036),IN0020220102,SOVEREIGN,3000000.0,3176.835,4.388382277542942,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.1% Government of India (18/04/2029),IN0020220011,SOVEREIGN,3000000.0,3067.245,4.236998018116208,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,6.4% Jamnagar Utilities & Power Private Limited (29/09/2026) **,INE936D07174,CRISIL AAA,3000000.0,2947.254,4.0712461368052,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.6% State Government Securities (08/02/2035),IN1520220220,SOVEREIGN,2500000.0,2613.24,3.6098494580191667,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.64% State Government Securities (08/02/2033),IN2120220065,SOVEREIGN,2500000.0,2605.6775,3.599402852836991,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,8.025% LIC Housing Finance Limited (23/03/2033) **,INE115A07QH6,CRISIL AAA,2500000.0,2587.74,3.574624541371829,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.8% HDFC Bank Limited (06/09/2032) **,INE040A08773,CRISIL AAA,2500000.0,2561.015,3.5377074473561385,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.64% National Bank For Agriculture and Rural Development (06/12/2029),INE261F08EJ7,ICRA AAA,2500000.0,2542.9725,3.512784092116547,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.9% Jamnagar Utilities & Power Private Limited (10/08/2028) **,INE936D07182,CRISIL AAA,2500000.0,2532.2025,3.497906744967848,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.73% Embassy Office Parks REIT (14/12/2029) **,INE041007159,CRISIL AAA,2500000.0,2511.78,3.4696957308411713,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,8.05% PNB Housing Finance Limited (06/02/2030) **,INE572E07217,CARE AA+,2500000.0,2506.86,3.462899393982156,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,6.54% Government of India (17/01/2032),IN0020210244,SOVEREIGN,2500000.0,2499.94,3.4533403185625646,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
