Fund_Name,Objective,Fund_Type,Allotment_Date,Benchmark,ADDL_Benchmark,Fund_Manager,Riskometer,Potential_Risk_Class,Maturity_Date,Exit_Load,ISIN_Number,AMFI_Code,Frequency_SIP,Frequency_SWP,Frequency_STP,Min_Amount_SIP,Min_Amount_SWP,Min_Amount_STP,Holdings,ISIN,Rating/Industry,Quantity,Market Value,Net Assets %,Portfolio Date,Scheme Name,Scheme code,Asset Category,Row Type,Scheme_Name_TER,Regular Plan TER,Direct Plan TER,Expense Ratio Date
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,HDFC Bank Limited,INE040A01034,Banks,122626.0,2241.848532,2.6743176213773947,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Cholamandalam Investment and Finance Company Ltd,INE121A01024,Finance,115476.0,1755.177462,2.0937641184364604,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Bajaj Finance Limited,INE296A01024,Finance,16855.0,1507.78088,1.7986429140967117,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,ICICI Bank Limited,INE090A01021,Banks,108457.0,1462.3799595,1.7444838217285998,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Divi's Laboratories Limited,INE361B01024,Pharmaceuticals & Biotechnology,20427.0,1179.7511715,1.407333859423771,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Tata Motors Limited,INE155A01022,Automobiles,173458.0,1169.887481,1.3955673903963428,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Dixon Technologies (India) Limited,INE935N01020,Consumer Durables,8645.0,1139.367775,1.359160208381132,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Suven Pharmaceuticals Limited,INE03QK01018,Pharmaceuticals & Biotechnology,90924.0,1046.53524,1.248419593819562,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Infosys Limited,INE009A01021,IT - Software,65747.0,1032.6552555,1.2318620581060853,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Premier Energies Limited,INE0BS701011,Electrical Equipment,104670.0,981.752265,1.17113950592121,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
