S no,Question,A,B,C,D,Correct,Price
1,Which blood group is commonly known as the universal donor?,AB+,O−,A+,B−,B,1000
2,Which is the hardest natural substance?,Gold,Iron,Diamond,Platinum,C,2000
3,In which year did India gain independence?,1945,1946,1947,1950,C,3000
4,Which Mughal emperor built the Taj Mahal?,Akbar,Shah Jahan,Aurangzeb,Humayun,B,5000
5,Which Indian classical dance form originated in Kerala?,Bharatanatyam,Kathak,Kathakali,Odissi,C,10000
6,What is the chemical symbol for gold?,Go,Gd,Au,Ag,C,20000
7,Which is the longest river in India?,Yamuna,Ganga,Godavari,Narmada,B,40000
8,Who was the first Indian to win an individual Olympic gold medal?,Neeraj Chopra,Abhinav Bindra,Sushil Kumar,Leander Paes,B,80000
9,Which element has the atomic number 1?,Helium,Hydrogen,Oxygen,Carbon,B,160000
10,The Battle of Plassey was fought in which year?,1757,1764,1857,1748,A,320000
11,Who formulated the theory of relativity?,Isaac Newton,Stephen Hawking,Albert Einstein,Niels Bohr,C,640000
12,Which is the only planet in our Solar System that rotates clockwise when viewed from above its north pole?,Mars,Venus,Jupiter,Mercury,B,1250000
13,Which Indian mathematician made significant contributions to number theory and infinite series?,Srinivasa Ramanujan,Aryabhata,Bhaskara II,C. V. Raman,A,2500000
14,What is the SI unit of electric resistance?,Volt,Ampere,Ohm,Watt,C,5000000
15,Which treaty ended the First World War?,Treaty of Paris,Treaty of Versailles,Treaty of Vienna,Treaty of Rome,B,7500000
16,Which fundamental particle has no electric charge?,Proton,Electron,Neutron,Positron,C,10000000
