S no,Question,A,B,C,D,Correct,Price
1,What is the capital of India?,Mumbai,New Delhi,Kolkata,Chennai,B,1000
2,How many days are there in a leap year?,365,364,366,367,C,2000
3,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,C,3000
4,Which animal is known as the King of the Jungle?,Tiger,Lion,Elephant,Leopard,B,5000
5,How many colors are there in a rainbow?,5,6,7,8,C,10000
6,Who wrote the Indian national anthem?,Bankim Chandra Chattopadhyay,Rabindranath Tagore,Sarojini Naidu,Subhas Chandra Bose,B,20000
7,Which is the largest ocean in the world?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D,40000
8,Which gas do humans need for respiration?,Carbon Dioxide,Nitrogen,Oxygen,Hydrogen,C,80000
9,Who was the first President of India?,Jawaharlal Nehru,Dr. Rajendra Prasad,Sardar Patel,Dr. B. R. Ambedkar,B,160000
10,Which is the largest planet in our Solar System?,Earth,Saturn,Jupiter,Neptune,C,320000
11,Which Indian city is known as the Pink City?,Jaipur,Jodhpur,Udaipur,Bikaner,A,640000
12,What is the currency of Japan?,Won,Yuan,Yen,Ringgit,C,1250000
13,Who discovered gravity according to the famous story?,Albert Einstein,Isaac Newton,Galileo Galilei,Nikola Tesla,B,2500000
14,Which is the smallest prime number?,0,1,2,3,C,5000000
15,Which Indian state has the longest coastline?,Maharashtra,Gujarat,Tamil Nadu,Kerala,B,7500000
16,"Who is known as the ""Missile Man of India""?",Vikram Sarabhai,Homi Bhabha,A. P. J. Abdul Kalam,C. V. Raman,C,10000000
